Time,Amplitude
0.353,-6.22461111331426e-12
0.354,-4.92309078415158e-12
0.355,-3.62157045498891e-12
0.356,-2.32005012582623e-12
0.357,-8.29448741084698e-12
0.358,-6.9929670816843e-12
0.359,-5.69144675252162e-12
0.36,-4.38992642335895e-12
0.361,-3.08840609419627e-12
0.362,-1.78688576503359e-12
0.363,-7.76132305005434e-12
0.364,-6.45980272089166e-12
0.365,-5.15828239172899e-12
0.366,-3.85676206256631e-12
0.367,-2.55524173340363e-12
0.368,-1.25372140424096e-12
0.369,-7.22815868926171e-12
0.37,-5.92663836009903e-12
0.371,-4.62511803093635e-12
0.372,-3.32359770177367e-12
0.373,-2.022077372611e-12
0.374,-7.2055704344832e-13
0.375,-6.69499432846907e-12
0.376,-5.39347399930639e-12
0.377,-4.09195367014371e-12
0.378,-2.79043334098104e-12
0.379,-1.48891301181836e-12
0.38,-1.87392682655684e-13
0.381,1.11412764650699e-12
0.382,-4.86030963851376e-12
0.383,-3.55878930935108e-12
0.384,-2.2572689801884e-12
0.385,-9.55748651025724e-13
0.386,3.45771678136953e-13
0.387,1.64729200729963e-12
0.388,-4.32714527772112e-12
0.389,-3.02562494855844e-12
0.39,-1.72410461939577e-12
0.391,-4.22584290233088e-13
0.392,8.78936038929589e-13
0.393,2.18045636809227e-12
0.394,-3.79398091692848e-12
0.395,-2.49246058776581e-12
0.396,-1.19094025860313e-12
0.397,1.10580070559548e-13
0.398,1.41210039972223e-12
0.399,2.7136207288849e-12
0.4,-3.26081655613585e-12
0.401,-1.95929622697317e-12
0.402,-6.57775897810492e-13
0.403,6.43744431352185e-13
0.404,1.94526476051486e-12
0.405,3.24678508967754e-12
0.406,-2.72765219534321e-12
0.407,-1.42613186618053e-12
0.408,-1.24611537017856e-13
0.409,1.17690879214482e-12
0.41,2.4784291213075e-12
0.411,3.77994945047017e-12
0.412,5.08146977963285e-12
0.413,-8.16892511957132e-12
0.414,-6.86740479040865e-12
0.415,-5.56588446124597e-12
0.416,-4.26436413208329e-12
0.417,-2.96284380292061e-12
0.418,-8.93728108794136e-12
0.419,-7.63576075877869e-12
0.42,-6.33424042961601e-12
0.421,-5.03272010045333e-12
0.422,-3.73119977129065e-12
0.423,-2.42967944212798e-12
0.424,-8.40411672714873e-12
0.425,-7.10259639798605e-12
0.426,-5.80107606882337e-12
0.427,-4.4995557396607e-12
0.428,-3.19803541049802e-12
0.429,-1.89651508133534e-12
0.43,-7.87095236635609e-12
0.431,-6.56943203719341e-12
0.432,-5.26791170803074e-12
0.433,-3.96639137886806e-12
0.434,-2.66487104970538e-12
0.435,-1.36335072054271e-12
0.436,-6.18303913800281e-14
0.437,1.23968993778265e-12
0.438,2.54121026694533e-12
0.439,3.842730596108e-12
0.44,-9.40766430309617e-12
0.441,-8.10614397393349e-12
0.442,-6.80462364477082e-12
0.443,-5.50310331560814e-12
0.444,-4.20158298644546e-12
0.445,-2.90006265728279e-12
0.446,-1.59854232812011e-12
0.447,-2.97021998957432e-13
0.448,1.00449833020524e-12
0.449,2.30601865936792e-12
0.45,3.6075389885306e-12
0.451,4.90905931769328e-12
0.452,-8.3413355815109e-12
0.453,-7.03981525234822e-12
0.454,-5.73829492318555e-12
0.455,-4.43677459402287e-12
0.456,-3.13525426486019e-12
0.457,-1.83373393569751e-12
0.458,-5.32213606534837e-13
0.459,7.6930672262784e-13
0.46,2.07082705179052e-12
0.461,3.37234738095319e-12
0.462,4.67386771011587e-12
0.463,5.97538803927855e-12
0.464,-7.27500685992563e-12
0.465,-5.97348653076295e-12
0.466,-4.67196620160027e-12
0.467,-3.37044587243759e-12
0.468,-2.06892554327492e-12
0.469,-7.67405214112241e-13
0.47,-1.40178001133164e-11
0.471,-1.27162797841537e-11
0.472,-1.14147594549911e-11
0.473,-1.01132391258284e-11
0.474,-8.81171879666571e-12
0.475,-7.51019846750303e-12
0.476,-6.20867813834035e-12
0.477,-4.90715780917768e-12
0.478,-3.605637480015e-12
0.479,-2.30411715085232e-12
0.48,-1.00259682168965e-12
0.481,2.98923507473032e-13
0.482,-1.29514713917311e-11
0.483,-1.16499510625685e-11
0.484,-1.03484307334058e-11
0.485,-9.04691040424311e-12
0.486,-7.74539007508043e-12
0.487,-6.44386974591776e-12
0.488,-5.14234941675508e-12
0.489,-3.8408290875924e-12
0.49,-2.53930875842973e-12
0.491,-1.23778842926705e-12
0.492,6.37318998956275e-14
0.493,1.3652522290583e-12
0.494,-1.18851426701459e-11
0.495,-1.05836223409832e-11
0.496,-9.28210201182052e-12
0.497,-7.98058168265784e-12
0.498,-6.67906135349516e-12
0.499,-5.37754102433249e-12
0.5,-4.07602069516981e-12
